,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
0,U12702064,,,USD,20240506,20240506,1313428.03043864,13860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327288.03043864,1.055253861,0
1,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
2,U12702064,,,USD,20240507,20240507,1327288.03043864,14964.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342252.42043864,1.127441042,0
3,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
4,U12702064,,,USD,20240508,20240508,1342252.42043864,-5973.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336358.70043864,-0.439091777,0
5,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
6,U12702064,,,USD,20240509,20240509,1336358.70043864,7989.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344347.80043864,0.597826018,0
7,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
8,U12702064,,,USD,20240510,20240510,1344347.80043864,866.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,-7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345246.59043864,0.066856955,0
