,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ExDate,PayDate,Quantity,Tax,Fee,GrossRate,GrossAmount,NetAmount,Code,FromAcct,ToAcct,ActionID,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
0,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240503,20240524,270,0,0,0.53,143.1,143.1,,,,136633599,,,,0.0,0.0
1,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240425,20240510,80,0,0,0.5,40,40,,,,137220524,,,,0.0,0.0
2,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ExDate,PayDate,Quantity,Tax,Fee,GrossRate,GrossAmount,NetAmount,Code,FromAcct,ToAcct,ActionID,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
3,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240503,20240524,270,0,0,0.53,143.1,143.1,,,,136633599,,,,0.0,0.0
4,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240425,20240510,80,0,0,0.5,40,40,,,,137220524,,,,0.0,0.0
5,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ExDate,PayDate,Quantity,Tax,Fee,GrossRate,GrossAmount,NetAmount,Code,FromAcct,ToAcct,ActionID,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
6,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240503,20240524,270,0,0,0.53,143.1,143.1,,,,136633599,,,,0.0,0.0
7,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240425,20240510,80,0,0,0.5,40,40,,,,137220524,,,,0.0,0.0
8,U12702064,,,USD,1,STK,COMMON,RMD,RESMED INC,4817352,US7611521078,ISIN,761152107,US7611521078,BBG000L4M7F1,NYSE,,,,,,US,1,,,,,20240508,20240613,167,0,0,0.48,80.16,80.16,,,,137573977,,,,0.0,0.0
9,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ExDate,PayDate,Quantity,Tax,Fee,GrossRate,GrossAmount,NetAmount,Code,FromAcct,ToAcct,ActionID,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
10,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240503,20240524,270,0,0,0.53,143.1,143.1,,,,136633599,,,,0.0,0.0
11,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240425,20240510,80,0,0,0.5,40,40,,,,137220524,,,,0.0,0.0
