,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ReportDate,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,VestingDate,Code,OriginatingOrderID,OriginatingTransactionID,AccruedInterest,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
0,U12702064,,,USD,1,STK,COMMON,AAPL,APPLE INC,265598,US0378331005,ISIN,037833100,US0378331005,BBG000B9XRY4,NASDAQ,,,,,,US,1,,,,,20240506,130,181.71,23622.3,194.342692308,194.342692308,25264.55,1.78,-1642.25,Long,SUMMARY,,,,,,,,,,,0.0,0.0
1,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240506,270,62.81,16958.7,46.085,46.085,12442.95,1.28,4515.75,Long,SUMMARY,,,,,,,,,,,0.0,0.0
2,U12702064,,,USD,1,STK,COMMON,CMG,CHIPOTLE MEXICAN GRILL INC,37655664,US1696561059,ISIN,169656105,US1696561059,BBG000QX74T1,NYSE,,,,,,US,1,,,,,20240506,12,3199.1,38389.2,2120.2,2120.2,25442.4,2.89,12946.8,Long,SUMMARY,,,,,,,,,,,0.0,0.0
3,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240506,80,857.88,68630.4,806.2125,806.2125,64497,5.17,4133.4,Long,SUMMARY,,,,,,,,,,,0.0,0.0
4,U12702064,,,USD,1,STK,COMMON,DRI,DARDEN RESTAURANTS INC,661440,US2371941053,ISIN,237194105,US2371941053,BBG000BBNYF6,NYSE,,,,,,US,1,,,,,20240506,246,147.48,36280.08,160.875,160.875,39575.25,2.73,-3295.17,Long,SUMMARY,,,,,,,,,,,0.0,0.0
5,U12702064,,,USD,1,STK,COMMON,GEF,GREIF INC-CL A,4812174,US3976241071,ISIN,397624107,US3976241071,BBG000BLFNC0,NYSE,,,,,,US,1,,,,,20240506,440,63.28,27843.2,63.375,63.375,27885,2.10,-41.8,Long,SUMMARY,,,,,,,,,,,0.0,0.0
6,U12702064,,,USD,1,STK,ETF,IWV,ISHARES RUSSELL 3000 ETF,10205675,US4642876894,ISIN,464287689,US4642876894,BBG000BWDVW8,ARCA,,,,,,US,1,,,,,20240506,2242,295.62,662780.04,251.129061998,251.129061998,563031.357,49.96,99748.683,Long,SUMMARY,,,,,,,,,,,0.0,0.0
7,U12702064,,,USD,1,STK,COMMON,KLAC,KLA CORP,270957,US4824801009,ISIN,482480100,US4824801009,BBG000BMTFR4,NASDAQ,,,,,,US,1,,,,,20240506,49,718.38,35200.62,543.310096673,543.310096673,26622.194737,2.65,8578.425263,Long,SUMMARY,,,,,,,,,,,0.0,0.0
8,U12702064,,,USD,1,STK,COMMON,LULU,LULULEMON ATHLETICA INC,45157951,US5500211090,ISIN,550021109,US5500211090,BBG000R8ZVD1,NASDAQ,,,,,,CA,1,,,,,20240506,98,350.24,34323.52,384.980204082,384.980204082,37728.06,2.59,-3404.54,Long,SUMMARY,,,,,,,,,,,0.0,0.0
9,U12702064,,,USD,1,STK,COMMON,MELI,MERCADOLIBRE INC,45602025,US58733R1023,ISIN,58733R102,US58733R1023,BBG000GQPB11,NASDAQ,,,,,,UY,1,,,,,20240506,33,1653.85,54577.05,1529.78030303,1529.78030303,50482.75,4.11,4094.3,Long,SUMMARY,,,,,,,,,,,0.0,0.0
