ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20230518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
