Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200721,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200722,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200723,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200724,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200727,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200728,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200729,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200730,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200731,2910000,1,2910000
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200803,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200804,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200805,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200806,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200807,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200810,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200811,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200812,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200813,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200814,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200817,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200818,2910080.55,1,2910080.55
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20200819,2910080.55,1,2910080.55
